FID,wkb_geometry,id,vej,vejid,fra,til,broklasse,frihoejde
tungvognsnet.1,"MULTILINESTRING ((719714.144125832 6176542.88152679, 719709.3093899781 6176538.62699933, 719700.357324649 6176530.61215192, 719690.124219159 6176520.75230663, 719676.495620636 6176507.00492866, 719676.0876089169 6176506.59271414, 719651.7189798449 6176482.01011585, 719635.490273867 6176462.29513985, 719625.511466705 6176449.28614019, 719618.4579595261 6176438.49475805, 719618.11615996 6176437.97181003, 719612.985265249 6176430.122511, 719612.443435688 6176429.29349685, 719606.966919124 6176420.91217132, 719606.951373797 6176420.8888555, 719600.349423529 6176410.78665348, 719588.291841145 6176391.24614341, 719581.0232079331 6176379.09000293, 719575.7918553051 6176370.24934988, 719567.65559862 6176356.4374512, 719560.665712805 6176343.59055952, 719550.483750733 6176325.37060014, 719550.0644176081 6176324.62003552, 719539.323041558 6176305.40013327, 719536.87267233 6176301.01560642, 719536.274021092 6176299.86240214, 719529.32018464 6176286.46696677, 719528.09136578 6176284.05478948, 719524.9137986971 6176277.64361923, 719521.405537002 6176270.40060504, 719508.728279736 6176243.23700872, 719502.329544084 6176228.67215562, 719499.696185681 6176222.26073597, 719499.590265093 6176222.00154658, 719495.3076670651 6176211.57104354, 719487.746404507 6176192.50454135, 719486.41509445 6176188.79885538, 719486.279485977 6176188.42203551, 719474.6323924 6176156.00382455, 719472.7052740331 6176150.15056531, 719472.4768906509 6176149.45679414, 719467.20045576 6176133.42956479, 719457.638817722 6176104.57188537, 719457.506643764 6176104.17312521, 719455.413635078 6176097.8554161, 719448.283291591 6176076.37052546, 719445.7008888 6176068.52663662, 719444.1242329 6176063.73764179, 719443.8552603329 6176062.92102305, 719439.598347091 6176049.97508976, 719435.024721301 6176036.04653311, 719430.339494713 6176021.94370745, 719430.3234235541 6176021.89637228, 719430.274387904 6176021.74534716, 719426.756983276 6176010.96483322, 719424.024081886 6176002.65474042, 719421.6587393631 6175995.69041191, 719419.0972687879 6175988.67819187, 719416.239440796 6175981.32399046, 719416.1528282011 6175981.1001959, 719413.887961506 6175975.53137538, 719410.821195435 6175968.17004491, 719409.515328431 6175965.1511214, 719407.0516115751 6175959.77344536, 719404.472242915 6175954.17340189, 719401.4358734321 6175947.95710145, 719399.868867164 6175944.83898329, 719399.4597777121 6175944.02559863, 719396.6947958381 6175938.60495674, 719393.891069557 6175933.57569639, 719390.5702355121 6175927.7319177, 719387.12373454 6175921.76761201, 719382.628546888 6175914.70418239, 719377.28841894 6175906.25454559, 719370.06867737 6175895.62296827, 719362.837950752 6175885.54738291, 719358.968534142 6175880.22896766, 719356.4394895871 6175877.04382465, 719273.895829282 6175776.81193908, 719272.205914217 6175774.75989326, 719271.173970317 6175773.0158597, 719263.2211287089 6175759.53974837, 719261.534763827 6175755.27284622, 719257.7972001911 6175745.9135278, 719253.7108994869 6175735.47091691, 719248.646943579 6175722.91620771, 719235.286302831 6175681.17372434, 719235.033815316 6175680.38344221, 719231.204530876 6175647.4812274))",32,Grøndals Parkvej,1012328000000,1506,2538,100,"5,00"
tungvognsnet.2,"MULTILINESTRING ((720086.280701746 6176933.77349966, 720083.4560849811 6176929.74337924, 720072.189252748 6176915.59746019, 720072.001819769 6176915.36266878, 720051.002649703 6176888.99887652, 720050.908923329 6176888.88198083, 720044.502368013 6176880.8393838, 720039.5828299 6176874.58093644, 719992.2828587691 6176814.40773065, 719969.589942999 6176786.32785027, 719956.066101168 6176769.15221664, 719949.18648155 6176760.39501164, 719948.593170875 6176759.64000647, 719946.0716251971 6176756.42998453, 719937.45063871 6176745.68363081, 719924.420039423 6176730.47948885, 719910.2784731761 6176715.25239379, 719899.619035023 6176703.73048325, 719892.4377334331 6176696.11575349, 719882.9623802049 6176686.53596698, 719871.636950166 6176675.00089819, 719865.045044488 6176668.99742018, 719857.9038479651 6176662.49190274, 719848.378964524 6176653.95053179, 719845.5578589541 6176651.47187043, 719833.087935156 6176640.5474271, 719810.4506623491 6176621.09292989, 719790.2175340239 6176604.66406601, 719789.681919081 6176604.22932201, 719780.393391953 6176596.68700087, 719770.1038163049 6176588.36861396, 719750.212801478 6176572.59876166, 719741.368056895 6176565.43034997, 719730.3271104661 6176556.50889681, 719717.3044372661 6176545.66257465, 719714.144125832 6176542.88152679))",33,Grøndals Parkvej,1012328000000,964,1506,100,"4,30"
tungvognsnet.3,"MULTILINESTRING ((720392.751254905 6177514.36412436, 720387.309768973 6177487.91258689, 720387.151909573 6177487.14317633, 720383.623429823 6177469.990961, 720352.740209827 6177397.58135372, 720352.378794976 6177396.7348925, 720331.742555999 6177348.61695377, 720323.5296657251 6177329.47144121, 720313.257827925 6177305.52543398, 720306.3105736921 6177290.16836382, 720306.0833982279 6177289.66668562, 720294.539203121 6177267.18209816, 720274.990590546 6177229.02444141, 720261.496881355 6177202.57984614, 720254.478271701 6177188.60589635, 720254.163508036 6177187.98044112, 720241.036009444 6177162.29137141, 720238.151432976 6177156.64624753, 720230.402879981 6177141.44041375, 720224.7897489481 6177131.26567159, 720197.532678936 6177092.42549387, 720197.37214692 6177092.19623573, 720134.9136568881 6177004.40814395, 720134.438685175 6177003.73950802, 720121.150262209 6176983.54763175))",34,Rebildvej,1015760000000,0,600,100,"5,00"
tungvognsnet.4,"MULTILINESTRING ((720121.594544741 6176983.36624191, 720121.562434589 6176983.35743111, 720120.906742149 6176983.17740973, 720086.280701746 6176933.77349966))",35,Grøndals Parkvej,1012328000000,903,964,,"4,30"
tungvognsnet.5,"MULTILINESTRING ((719594.466963179 6177547.06253503, 719559.254083101 6177525.68354253, 719491.720590352 6177499.82153866, 719491.1606102551 6177499.6073945, 719476.398182397 6177494.08365368, 719459.8185443981 6177488.02981129, 719442.062948268 6177481.54657482, 719430.717828985 6177477.33784646, 719429.9958395209 6177477.07048158, 719398.83642262 6177465.51452109, 719397.936680921 6177465.18061943, 719345.350242742 6177445.67634455, 719300.4270552291 6177428.83648015, 719299.911679607 6177428.64322541, 719283.019602928 6177422.6062255, 719206.7007116381 6177394.01968847, 719194.729873452 6177388.87425583, 719194.6743288611 6177388.85014942, 719135.921235135 6177363.59492469, 719135.691096463 6177363.49634102, 719124.8242913751 6177358.82590122, 719084.28296995 6177339.44569195, 719083.4703346749 6177339.05749187, 719074.708802471 6177334.86882761, 719065.397540228 6177330.25114256, 719065.11125232 6177330.10843314, 719029.5543490611 6177312.47236037, 719029.491942954 6177312.44111577, 719019.935998338 6177307.70155289, 719004.337926546 6177300.37365226, 718996.096119482 6177296.66443775, 718996.041594674 6177296.63935117, 718960.291129766 6177280.54704026, 718933.4000729091 6177268.80338654, 718921.153179824 6177263.3523984, 718920.970724336 6177263.27076329, 718888.4762860379 6177248.80839742, 718861.4594476791 6177236.84918559, 718853.514616128 6177233.2989019, 718852.793715151 6177232.97653943, 718820.167579463 6177218.39553587, 718800.647624698 6177209.97575904, 718785.760152757 6177205.36391965))",36,Jyllingevej,1013464000000,30,909,100,"5,00"
tungvognsnet.6,"MULTILINESTRING ((720394.529833499 6177515.74524199, 720392.9404267721 6177514.51091757, 720392.751254905 6177514.36412436, 720344.937715217 6177477.22937835, 720320.3324920869 6177460.92406837, 720312.7094243261 6177456.68085023, 720312.1849833621 6177456.38937832, 720282.108650333 6177439.68082644, 720281.811795866 6177439.51589898, 720277.418467988 6177437.67640278, 720253.29804545 6177429.84388688, 720217.4797631269 6177422.58947546, 720216.8819238261 6177422.46861816, 720214.640070927 6177422.01315331, 720113.463317961 6177426.89103666, 720092.263553195 6177428.64885423, 720091.706195867 6177428.70686436, 720091.427507321 6177428.73636942, 720041.734841937 6177433.9415498, 720011.4595601821 6177437.93090185, 719962.43437698 6177445.15002562, 719957.8261824681 6177446.03331372, 719957.511881842 6177446.09312658, 719897.744071253 6177457.54259673, 719843.857197608 6177470.01963955, 719816.2631028671 6177477.08911644, 719813.3350165109 6177477.94858887, 719812.442493948 6177478.21105382, 719748.386219091 6177497.04455811, 719738.430226217 6177500.14401938, 719699.54128568 6177512.81143704, 719699.361062689 6177512.86989827, 719614.8987140671 6177540.37946861, 719614.0801319219 6177540.64639566, 719596.293993175 6177547.6392422))",37,Sallingvej,1016184000000,255,1095,100,"5,00"
tungvognsnet.7,"MULTILINESTRING ((720584.788323226 6177685.14517984, 720594.64586228 6177693.18970575, 720609.6419037 6177708.17869008, 720624.476231074 6177723.76417695, 720695.5522979681 6177811.49274309, 720695.862436777 6177811.84600543, 720702.073698975 6177818.93743018, 720739.609229119 6177868.22484614, 720743.94119012 6177873.92861239, 720744.4374767831 6177874.5816671, 720770.039325359 6177908.28636759, 720797.45856953 6177944.38489776, 720800.477181844 6177948.36005755, 720867.2138353089 6178036.014738))",38,Hulgårdsvej,1013072000000,0,451,100,"5,00"
tungvognsnet.8,"MULTILINESTRING ((725471.149996169 6174466.21556633, 725458.107016184 6174383.1484036, 725455.79612017 6174368.43096935, 725445.846848332 6174304.95776611, 725440.0676939641 6174268.08859159, 725416.0559592331 6174129.83355146, 725411.96932018 6174101.26651672, 725408.039645163 6174078.01873767, 725405.986008644 6174056.99258405, 725404.872960932 6174032.98706547, 725406.33375848 6174012.72715196, 725408.8266354081 6173993.12314928, 725414.471068803 6173965.59660015, 725412.890137951 6173965.06873152, 725410.440827182 6173963.85824015, 725408.393165705 6173962.41763591, 725406.654701705 6173960.77471098, 725404.9120078491 6173958.52719567, 725403.515650845 6173955.8979223, 725402.6017423479 6173953.07659283, 725402.178256007 6173949.81448818, 725402.23397451 6173948.99088783, 725402.406965623 6173946.4338281, 725403.16064294 6173943.54515185, 725404.133333357 6173941.3327441, 725405.9567488581 6173938.56701978, 725408.109067426 6173936.35326593, 725410.313747787 6173934.75133168, 725413.285941516 6173933.31225082, 725416.593626297 6173932.4568763, 725419.614618863 6173932.26530083, 725422.647217431 6173932.61763213, 725424.853588828 6173933.2352863, 725432.0596945641 6173915.44956902, 725439.283666618 6173899.24979177, 725455.370095129 6173872.38833765, 725474.315211165 6173846.80683539, 725494.928143242 6173825.27833486, 725506.403948174 6173813.53750399, 725525.0805076209 6173794.42962206, 725564.23275234 6173754.37318279, 725626.620702214 6173690.04010098, 725625.8451051209 6173689.25974249, 725625.309402121 6173688.65662068, 725624.8391148959 6173688.07573917, 725624.313481654 6173687.35852038, 725623.7849384911 6173686.53752066, 725623.296034535 6173685.69509375, 725622.891974739 6173684.87907149, 725622.515270898 6173684.02525042, 725622.239293243 6173683.27004042, 725621.9499247491 6173682.38622258, 725621.680332469 6173681.37637801, 725621.517046074 6173680.50361212, 725621.395838673 6173679.63042701, 725621.3036056861 6173678.52098571, 725621.283642028 6173677.44408101, 725621.3312142 6173676.37689605, 725621.4577444851 6173675.23007853, 725621.687855425 6173673.97504906, 725622.027209161 6173672.68891183, 725622.3934223381 6173671.62078502, 725622.814859271 6173670.61178777, 725623.3400133629 6173669.55825588, 725623.9387179931 6173668.54054175, 725624.658960234 6173667.4962723, 725625.489464907 6173666.4691236, 725626.785793032 6173665.1412171, 725628.088680418 6173664.05923732, 725629.504079197 6173663.10534759, 725630.922230459 6173662.33904244, 725632.4317180951 6173661.70119376, 725634.015296313 6173661.2064574, 725635.70637582 6173660.85797005, 725637.166215511 6173660.67629999, 725638.55778927 6173660.66286376, 725639.6876109691 6173660.71835063, 725641.194090995 6173660.91203592, 725642.941983149 6173661.30965157, 725644.787386032 6173661.91800354, 725646.5244855831 6173662.78778394, 725648.020898313 6173663.7204849, 725649.3160388231 6173664.72016768, 725650.198675659 6173665.52722166, 725650.288062876 6173665.43961575, 725677.767113422 6173637.19561701, 725696.068426606 6173617.11866159, 725705.106459395 6173606.36339078, 725713.9235486541 6173595.17780202, 725725.580556707 6173576.59142648, 725735.9482430341 6173555.67303907, 725746.6641412161 6173529.50615272, 725745.426251103 6173529.07762532, 725743.664915926 6173528.27249475, 725741.8230586641 6173527.18286882, 725740.403805207 6173526.03023157, 725739.40765194 6173525.08467197, 725738.378954615 6173523.92462385, 725737.375778786 6173522.50324486, 725736.442345252 6173520.93602056, 725735.807745044 6173519.44825251, 725735.4197303 6173518.45621276, 725734.889173392 6173516.3678997, 725734.63261842 6173514.32200625, 725734.649991405 6173511.90017472, 725734.969825298 6173509.69459309, 725735.5846097469 6173507.52364612, 725736.424735776 6173505.56428983, 725737.4863573309 6173503.78521626, 725738.49613105 6173502.39758838, 725740.111146175 6173500.69749647, 725741.76853238 6173499.35891727, 725743.797246834 6173498.12394435, 725745.730886362 6173497.27249791, 725747.949259381 6173496.62347573, 725749.564151476 6173496.29032765, 725751.4177374861 6173496.17518501, 725752.9626381249 6173496.28034713, 725754.4621142619 6173496.46783082, 725755.761607807 6173496.74193662, 725759.531866015 6173478.88876455, 725760.35408811 6173474.99532496, 725762.556901016 6173455.94282274, 725763.878508169 6173431.06109176, 725763.04227169 6173406.13674897, 725760.822408766 6173384.00797095, 725738.891491689 6173250.06894602, 725727.901613106 6173184.80605585, 725627.300476348 6172586.63943226, 725603.1989441571 6172443.3335751, 725552.774895435 6172148.59119999, 725539.5528431571 6172060.98141055, 725537.367254452 6172046.49962192, 725526.20036102 6171971.45165667))",1,Ørestads Boulevard,1018541000000,500,3200,100,"5,00"
tungvognsnet.9,"MULTILINESTRING ((725512.634613052 6171891.62171673, 725507.3562354089 6171864.38230968, 725502.649206298 6171807.47004862, 725502.007338691 6171798.19862764, 725494.106762921 6171753.58222581, 725483.4226997771 6171687.35732763, 725475.500251144 6171642.06173231, 725473.32342421 6171629.08057259, 725465.338654396 6171581.4646732, 725456.6005818109 6171529.98191311, 725450.479069349 6171493.203098, 725423.6532663971 6171332.03030724, 725414.4301019411 6171284.54384069, 725406.036878343 6171251.83749059))",2,Ørestads Boulevard,1018541000000,3281,3930,100,"5,00"
tungvognsnet.10,"MULTILINESTRING ((725674.704983946 6171986.97264151, 725672.5793732781 6171985.73667493, 725667.9252938661 6171983.03049429, 725660.464886425 6171978.69253445, 725629.123666107 6171963.38690573, 725608.5101881761 6171954.86240348, 725569.2152938859 6171938.44574266, 725568.551410852 6171938.22355311, 725557.894745441 6171933.98556496, 725527.076860717 6171925.74913313, 725518.8367136309 6171924.29450973, 725482.170208227 6171917.821815, 725456.5709726891 6171914.67640705, 725438.450915431 6171913.14423189, 725383.5308541161 6171912.58527625, 725359.115826086 6171913.40682592, 725039.473025083 6171922.02548967))",3,Vejlands Allé,1018128000000,1891,2540,100,"4,80"
